customerid,credit,current_account,duration,previous_credit,purpose,amount,value_saving_stocks,tenure,install_rate,marital_status_sex,debtor_guarantors,living_at_current_address,valueable_assets,age,other_credits,apartment_type,credits_at_bank,occupation,num_dependents,broadband,foreign_worker
1001,good,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_0.5K_to_1K,from_500_to_1000_DM,less_than_1_year,more_than_35_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,three_or_more,no,yes
1002,bad,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,not_available_or_no_savings,less_than_1_year,from_20_to_35_percent,female_not_single_or_male_single,Co-Applicant,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,two_or_three,skilled_worker,three_or_more,no,yes
1003,good,no_balance_or_debit,from_06_to_12,no_problems_current_credit_at_bank,furniture,from_0.5K_to_1K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,female_single,Co-Applicant,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,two_or_three,skilled_worker,three_or_more,no,yes
1004,bad,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_0.5K_to_1K,less_than_100_DM,from_4_to_7_years,less_than_20_percent,female_single,none,less_than_1_year,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1005,good,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_35_percent,male_married_or_widowed,none,from_1_to_4_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,executive,up_to_two,yes,yes
1006,bad,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1K_to_1.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_35_percent,female_not_single_or_male_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1007,good,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1K_to_1.5K,not_available_or_no_savings,more_than_7_years,more_than_35_percent,male_married_or_widowed,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1008,good,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,from_500_to_1000_DM,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,less_than_1_year,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1009,good,no_balance_or_debit,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,more_than_7_years,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,yes,yes
1010,bad,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,not_available_or_no_savings,from_1_to_4_years,more_than_35_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
