acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs
3571,CA,91306,Bank_Of_Am,3351,08012287,8,0.4030,-0.91,121,37,183,1
3572,FL,33417,Associates,3371,05012983,5,0.1662,-1.79,115,74,106,2
3573,CA,92507,Bank_Of_Am,4534,01019323,1,0.6252,-0.47,121,32,75,1
3574,CA,92507,Discover,1571,01018457,1,0.4670,-0.76,119,15,16,3
3575,AR,72758,Associates,804,05012853,5,0.7620,-0.27,120,12,213,2
3576,FL,32304,Associates,4421,02014271,2,0.1164,-2.15,129,88,141,10
3577,SC,29061,Chase,2473,04013093,4,0.0088,-4.73,129,51,30,3
3578,TX,78230,Associates,6746,01016057,1,0.1583,-1.84,118,17,31,1
3579,TN,37135,Discover,3755,01015611,1,0.8336,-0.18,93,31,189,1
3580,NY,11106,Discover,4092,02013764,2,0.3723,-0.99,132,60,2,2
3581,TX,79924,Associates,2503,10011828,10,0.8791,-0.13,139,40,182,1
3582,LA,70520,Associates,2114,02013764,2,0.6112,-0.49,132,86,41,6
3583,IL,62207,Associates,2086,01014879,1,0.6654,-0.41,143,4,100,23
3584,FL,34949,Discover,4452,01014956,1,0.4476,-0.8,92,53,116,1
3585,DE,19802,Chase_Rev,798,03013493,3,0.2685,-1.32,99,58,22,3
3586,MD,20746,Discover,1453,01016703,1,0.4774,-0.74,145,26,109,2
3587,CA,90062,Wells,928,05012902,5,0.0327,-3.42,135,6,159,3
3588,IN,46324,Bank_Of_Am,2518,01015448,1,0.5974,-0.52,97,75,6,1
3589,WI,54487,Bank_Of_Am,6080,10011799,10,0.0823,-2.5,145,14,51,1
3590,CA,95136,Wells,1588,01015459,1,0.5175,-0.66,105,30,281,5
3591,CA,93001,Bank_Of_Am,2107,04013110,4,0.4332,-0.84,98,53,40,1
3592,CA,90038,Discover,1378,06012589,6,0.6461,-0.44,132,72,14,1
3593,AL,35570,Discover,1591,03013529,3,0.8538,-0.16,106,99,72,5
3594,GA,30083,Discover,1493,06012638,6,0.7776,-0.25,78,39,266,1
3595,PA,17954,Discover,5273,01015521,1,0.7660,-0.27,127,12,93,2
3596,CA,94523,Wells,7813,01015569,1,0.5875,-0.53,136,48,122,2
3597,NM,87016,Discover,5975,02014066,2,0.6896,-0.37,136,36,136,1
3598,TN,37015,Bank_Of_Am,4613,06012701,6,0.9766,-0.02,125,69,26,1
3599,MD,20784,Discover,2802,02925592,2,0.1844,-1.69,108,43,37,4
3600,CA,95123,Wells,3053,02925448,2,0.5568,-0.59,124,1,378,3
3601,PA,19522,Associates,4264,04013175,4,0.7767,-0.25,139,71,46,1
